Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Состав;Weight;Length;Width;Height
6,71493E+11;Орхи;;Sale;Зима 2021;Артикул 1661(только черный).;Размеры 46-54555555555;Добавил коммент, где отобразиться?;https://static.tildacdn.com/tild6466-6462-4530-a137-343933333736/1661_0.jpg;;;;;;ReuJxtMrJpZHDoTe8t3R;;Хлопок 60%, Полиэстер 40%;0;0;0;0
9,64324E+11;;1661;;;Артикул 1661(только черный). / Синий- Синий;;;https://static.tildacdn.com/tild6466-6462-4530-a137-343933333736/1661_0.jpg;25.0000;25;;Цвет:Синий;;cUAKbv32r0krbp2bXSTF;6,71493E+11;;0;0;0;0
4,03282E+11;;1661 д;;;Артикул 1661(только черный). / Синий- Синий;;;https://static.tildacdn.com/tild6436-6237-4137-b961-626665636635/1661_2.jpg;25.0000;22;;Цвет:Синий;;dSImCXLOnbiFJiO6VZs4;6,71493E+11;;0;0;0;0
4,91484E+11;;1661 т;;;Артикул 1661(только черный).- ;;;https://static.tildacdn.com/tild3465-3235-4931-b865-646637666437/ORh_274063_.jpg;25.0000;0;;Цвет:;;1TgbNtSUOCUZ0yz5rZe5;6,71493E+11;;0;0;0;0
4,27918E+11;Орхидея;;New;Весна 2021;Блузка 5/425, Брюки 1906;Размеры 46-54;;https://static.tildacdn.com/tild6531-6666-4231-b338-396336663466/5425_0.jpg;;;;;;jm5FtKEuInVkxz2OLXT1;;Хлопок 100%;0;0;0;0
8,03408E+11;;Блузка 5/425;;;Блузка 5/425, Брюки 1906 / Синий- Синий;;;https://static.tildacdn.com/tild6531-6666-4231-b338-396336663466/5425_0.jpg;25.0000;20;;Цвет:Синий;;jMJ3KdtZI4DgbYX7PDRB;4,27918E+11;;0;0;0;0
3,24223E+11;;Блузка 5/425 т;;;Блузка 5/425, Брюки 1906-- ;;;https://static.tildacdn.com/tild3863-6663-4434-b864-623061383935/ORh_274064_.jpg;25.0000;0;;Цвет:;;opiCdvpjophKre7fEe97;4,27918E+11;;0;0;0;0
4,82101E+11;;Брюки 1906;;;Блузка 5/425, Брюки 1906 / Чёрный- Чёрный;;;https://static.tildacdn.com/tild6531-6666-4231-b338-396336663466/5425_0.jpg;14.0000;20;;Цвет:Чёрный;;SsRd55l7GUrfKIgG8RBx;4,27918E+11;;0;0;0;0
1,31049E+11;;Брюки 1906 т;;;Блузка 5/425, Брюки 1906-- ;;;https://static.tildacdn.com/tild3863-6663-4434-b864-623061383935/ORh_274064_.jpg;14.0000;0;;Цвет:;;EjrM0tt9N7Zoz6xRfm9B;4,27918E+11;;0;0;0;0
3,81804E+11;Fayno;;Sale;Зима 2021;Артикул 1804;Размеры 46-54;;https://static.tildacdn.com/tild6238-3266-4235-b365-313565396436/1804_0.jpg;;;;;;ec2lhsJ3SH1YLCBNnl5G;;Полиэстер 100%;0;0;0;0
6,70849E+11;;1804;;;Артикул 1804 / Серый- Серый;;;https://static.tildacdn.com/tild6238-3266-4235-b365-313565396436/1804_0.jpg;25.0000;10;;Цвет:Серый;;zbJm1X9DcrEcjLuChbLM;3,81804E+11;;0;0;0;0
9,80601E+11;;1804 д;;;Артикул 1804 / Серый- Серый;;;https://static.tildacdn.com/tild6537-3833-4734-b564-376534303837/1804_1.jpg;25.0000;0;;Цвет:Серый;;gRm2y06TVsoT4CmPHeMa;3,81804E+11;;0;0;0;0
